ID,outofhouse,numberpersons150cm,numberpersons150cmspoken,numberpersons5m,outhousework,test,#Survey completions
11147,4.363636363636363,1.5454545454545454,1.6363636363636365,0.9090909090909091,0.09090909090909091,0.0,11
11477,1.375,0.875,0.75,0.75,0.0,0.0,8
11650,0.8571428571428571,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.0,0.0,7
11861,6.363636363636363,6.7272727272727275,2.909090909090909,1.5454545454545454,0.09090909090909091,0.0,11
12049,0.7,0.7,0.0,0.8,0.0,0.0,10
12231,4.090909090909091,2.1818181818181817,1.3636363636363635,0.8181818181818182,0.5454545454545454,0.0,11
12470,0.7,0.7,0.1,0.8,0.0,0.0,10
12932,7.2,1.6,1.6,0.9,0.8,1.0,10
12961,9.777777777777779,13.666666666666666,2.111111111111111,2.6666666666666665,0.5555555555555556,0.0,9
13157,0.7,0.3,0.0,1.0,0.1,1.0,10
13195,2.0,0.36363636363636365,0.2727272727272727,0.7272727272727273,0.2727272727272727,0.0,11
13296,2.9,1.6,0.0,1.1,0.0,1.0,10
13623,4.875,0.875,0.75,0.875,0.0,0.0,8
13870,3.5,0.25,0.0,1.25,0.0,0.0,8
13945,8.0,7.666666666666667,5.666666666666667,1.1666666666666667,1.0,0.0,6
13964,7.333333333333333,3.3333333333333335,2.5,1.3333333333333333,0.5,1.0,6
14020,7.428571428571429,2.857142857142857,2.857142857142857,0.8571428571428571,0.0,0.0,7
14398,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.0,7
14477,2.0,2.0,1.1666666666666667,0.8333333333333334,0.0,0.0,6
14615,2.090909090909091,2.1818181818181817,1.3636363636363635,0.7272727272727273,0.0,0.0,11
14902,1.625,1.125,0.875,0.75,0.125,0.0,8
15042,5.909090909090909,2.272727272727273,2.6363636363636362,1.0,0.0,0.0,11
15050,2.875,0.75,0.625,2.75,0.0,1.0,8
15157,1.9090909090909092,7.818181818181818,5.545454545454546,0.8181818181818182,0.18181818181818182,0.0,11
15223,7.166666666666667,2.3333333333333335,1.0,1.1666666666666667,0.6666666666666666,1.0,6
15358,7.454545454545454,1.4545454545454546,1.4545454545454546,0.8181818181818182,0.8181818181818182,0.0,11
15388,4.7272727272727275,4.0,0.0,1.2727272727272727,0.2727272727272727,0.0,11
15513,1.7,1.1,0.0,0.6,0.0,1.0,10
16744,3.6363636363636362,1.3636363636363635,1.3636363636363635,1.0909090909090908,0.0,0.0,11
16793,1.4,0.3,0.2,0.4,0.2,0.0,10
17225,1.3636363636363635,0.45454545454545453,0.0,1.1818181818181819,0.0,0.0,11
17546,3.4444444444444446,2.5555555555555554,0.8888888888888888,1.6666666666666667,0.0,0.0,9
17679,3.0,2.5,0.0,1.375,0.375,0.0,8
17689,10.714285714285714,3.5714285714285716,3.5714285714285716,1.0,0.8571428571428571,0.0,7
17936,17.272727272727273,1.0909090909090908,0.0,1.4545454545454546,0.0,0.0,11
18241,4.363636363636363,1.5454545454545454,0.8181818181818182,0.9090909090909091,0.5454545454545454,1.0,11
18472,0.8181818181818182,1.1818181818181819,0.2727272727272727,0.7272727272727273,0.0,0.0,11
18674,2.4444444444444446,0.6666666666666666,0.5555555555555556,0.8888888888888888,0.0,0.0,9
